titulo,sinopse
A Ópera de Paris,"Durante um ano, o diretor Jean-Stéphane Bron percorreu os bastidores da Ópera de Paris. Ele registrou a rotina complicada da diretoria, obrigada pelo Ministério da Cultura e demitir funcionários e aumentar a rentabilidade dos espetáculos, dos diretores de dança e música, confrontados às dificuldades de produção e aos prazos apertados, e dos artistas, imersos em treinos e ensaios de alto nível. Um mergulho pela gigantesca estrutura necessária para manter uma instituição artística estimada entre as melhores do mundo."
Bye Bye Jaqueline,"Jaqueline (Poliana Oliveira), uma jovem humilde de 16 anos, é bolsista em um colégio particular e passa seus dias dividida entre os estudos e os pensamentos em Fernando (Victor Carlim), o garoto mais bonito da escola por quem está perdidamente apaixonada. O que ela não imagina é que sua melhor amiga, Amanda (Gabrielle Pizzato Santana), tem uma história com o rapaz e ele tem um segredo capaz de impedir qualquer chance de namoro entre os dois. Além disso, Marchesi (Leonardo Oliveira), amigo de Fernando, também gosta dela e pretende fazer de tudo para conquistá-la."
Viva - A Vida é uma Festa,"Miguel é um menino de 12 anos que quer muito ser um músico famoso, mas ele precisa lidar com sua família que desaprova seu sonho. Determinado a virar o jogo, ele acaba desencadeando uma série de eventos ligados a um mistério de 100 anos. A aventura, com inspiração no feriado mexicano do Dia dos Mortos, acaba gerando uma extraordinária reunião familiar."
Jumanji: Bem-Vindo à Selva,"Quatro adolescentes encontram um videogame cuja ação se passa numa floresta tropical. Empolgados com o jogo, eles escolhem seus avatares para o desafio, mas um evento inesperado faz com que sejam transportados para dentro do universo fictício, transformando-se nos personagens da aventura."
The Square - A Arte da Discórdia,"Um gerente de museu está usando de todas as armas possíveis para promover o sucesso de uma nova instalação. Entre as tentativas para isso, ele decide contratar uma empresa de relações públicas para fazer barulho em torno do assunto na mídia em geral. Mas, inesperadamente, isso acaba gerando diversas consequências infelizes e um grande embaraço."
120 Batimentos Por Minuto,"França, início dos anos 1990. O grupo ativista Act Up está intensificando seus esforços para que a sociedade reconheça a importância da prevenção e do tratamento em relação a Aids, que mata cada vez mais há uma década. Recém-chegado ao grupo, Nathan (Arnaud Valois) logo fica impressionado com a dedicação de Sean (Nahuel Pérez Biscayart), apesar de seu estado de saúde delicado."
A Primeira Noite de um Homem,"Após se formar na faculdade, Benjamin Braddock (Dustin Hoffman) retorna para casa. Indeciso quanto ao seu futuro, ele acaba sendo seduzido pela Sra. Robinson (Anne Bancroft), uma amiga de seus pais. A relação se complica ainda mais quando o rapaz se vê forçado pelos pais a ter um encontro com a filha dela, Elaine (Katharine Ross)."
O Touro Ferdinando,"Ferdinando é um touro com um temperamento calmo e tranquilo, que prefere sentar-se embaixo de uma árvore e relaxar ao invés de correr por aí bufando e batendo cabeça com os outros. A medida que vai crescendo, ele se torna forte e grande, mas com o mesmo pensamento. Quando cinco homens vão até sua fazenda para escolher o melhor animal para touradas em Madri, Ferdinando é selecionado acidentalmente."
O Destino de uma Nação,"Winston Churchill (Gary Oldman) está prestes a encarar um de seus maiores desafios: tomar posse do cargo de Primeiro Mnistro da Grã-Bretanha. Paralelamente, ele começa a costurar um tratado de paz com a Alemanha nazista que pode significar o fim de anos de conflito."
O Estrangeiro,"Quan (Jackie Chan) é dono de um típico restaurantes chinês em Londres, capital da Inglaterra. Após um misterioso ataque de um grupo de terroristas irlandeses ao seu estabelecimento, ele tem sua vida e família devastadas. Sem muito apoio da polícia local, ele vai buscar vingança com suas próprias mãos."
O Motorista de Táxi,"Em maio de 1980, um taxista de Seul recebe uma proposta de um repórter estrangeiro que consiste em transportá-lo para Gwangju e depois voltar para o local de origem por uma bagatela que cobrirá meses de seu aluguel pedente. No local, o taxista descobre uma realidade que ainda não conhecia: a ditadura militar na Coreia, quando centenas de civis foram massacrados pelo governo."
Lou,"A escritora e psicanalista Lou Andreas-Salomé decide reescrever suas memórias aos 72 anos. Ela relembra sua juventude em meio à comunidade alemã de São Petersburgo. Desde criança, sonhava em ser intelectual e estava determinada a nunca se casar ou ter filhos. Além de trabalhar com nomes famosos, ela escreve sobre os relacionamentos conturbados com Nietzsche e Freud, além da paixão por Rilke e conflitos entre autonomia e intimidade, junto com o desejo de viver sua liberdade."
O Pacto de Adriana,"Com o objetivo de conhecer realmente quem é sua tia Adriana, a diretora embarca na história passada e presente dessa mulher que era seu ídolo quando criança. Ainda na infância, 2007, sua tia foi presa por ter trabalhado na polícia secreta de Pinochet. Em 2011, ela fugiu do país enquanto enfrentava julgamento sobre o assassinato de um importante líder comunista. Em 2015, vive na iminência de uma extradição pelas mãos dos chilenos que vivem na Austrália. Um relato íntimo repleto de segredos."
Sailing Band,"O documentário acompanha a banda musical Sound Citzens, formada por membros de vários países, e que tinha uma turnê marcada pelo Caribe. O objetivo era registrar as apresentações e as dificuldades de convivência, mas todo o plano muda quando o grupo esquece de um detalhe: alugar um barco para se locomover."
Me Chame Pelo Seu Nome,"O sensível e único filho da família americana com ascendência italiana e francesa Perlman, Elio (Timothée Chalamet), está enfrentando outro verão preguiçoso na casa de seus pais na bela e lânguida paisagem italiana. Mas tudo muda quando Oliver (Armie Hammer), um acadêmico que veio ajudar a pesquisa de seu pai, chega."
Sobrenatural: A Última Chave,"Elise Rainier (Lin Shaye) é chamada para resolver o caso de uma assombração no Novo México. O que seria apenas mais um caso ganha ares especiais quando Elise descobre que a atividade sobrenatural está acontecendo justamente na casa em que ela passou a infância. Enquanto tenta resolver o caso do morador de sua antiga casa, ela será obrigada a confrontar vários fantasmas e demônios de sua infância, alguns literais. Ao lado de Specs (Leigh Whannell) e Tucker (Angus Sampson), Elise se depara com seu caso mais pessoal."
Gaby Estrella,"Depois do grande sucesso no mundo da música, a adolescente Gaby Estrella (Maitê Padilha) começa a sofrer com a concorrência de um novo ídolo teen, Natasha (Luisa Prochet). Para voltar às paradas de sucesso, ela precisa reencontrar suas origens, na cidade do interior Vale Mirim."
Correndo Atrás de um Pai,"Quando descobrem que a mãe (Glenn Close) sempre mentiu para eles a respeito de seu pai biológico, os irmãos gêmeos Kyle (Owen Wilson) e Peter (Ed Helms), que não têm nada em comum, decidem cruzar os Estados Unidos em busca do genitor que tanto sonharam conhecer."
Os Iniciados,"Cabo Oriental, África do Sul. Xolani, um operário solitário, viaja para as montanhas rurais com os homens de sua comunidade com intuito de atuar nos rituais de Ulwaluko, que consiste na circuncisão de adolescentes de origem Xhosa para que eles ingressem finalmente na vida adulta, tornando-se homens. Xolani assume a responsabilidade sobre um garoto da cidade que o pai teme ser homossexual e, quando o iniciante questionador descobre seu segredo mais bem guardado, o operário não tem mais paz."
Pela Janela,"Rosália (Magali Biff) é uma dedicada operária de 65 anos que dedicou a vida ao trabalho em um fábrica de reatores da periferia de São Paulo. Certo dia acaba demitida e é consolada pelo irmão José (Cacá Amaral), com quem vive. Ele resolve levá-la em uma viagem de carro até Buenos Aires com o objetivo de distraí-la e no país vizinho Rosália vê pela primeira vez um mundo desconhecido e distante de sua vida cotidiana."
Como Você Me Vê?,"28 atores experientes e iniciantes são acompanhados durante sua trajetória profissional afastada de qualquer glamour ou reconhecimento público pelo trabalho que fazem. Trata-se de um retrato da realidade que vivem os atores no Brasil, um país cheio de contradições quando o assunto é a arte de interpretar."
Saudade,"Um olhar íntimo e um retrato aprofundado sobre a saudade sentida pelos brasileiros e pelos indivíduos lusófonos que vivem longe de sua terra natal, habitando comunidades lusófonas em diversos países do mundo. Através de viagens a países que falam a língua portuguesa, os aspectos plásticos e sensoriais da linguagem são traçados."
Maze Runner: A Cura Mortal,"No terceiro filme da saga, Thomas (Dylan O' Brien) embarca em uma missão para encontrar a cura para uma doença mortal e descobre que os planos da C.R.U.E.L podem trazer consequências catastróficas para a humanidade. Agora, ele tem que decidir se vai se entregar para a C.R.U.E.L e confiar na promessa da organização de que esse será seu último experimento."
Artista do Desastre,"Greg Sestero (Dave Franco) se aproxima do excêntrico Tommy Wiseau (James Franco) após uma aula de atuação e os dois desenvolvem uma intensa amizade ancorada no sonho em comum de fazer sucesso nas artes dramáticas. Juntos eles partem para Hollywood, onde Tommy, cansado de ser rejeitado em testes, decide produzir, financiar, dirigir, escrever e protagonizar – ao lado do melhor amigo – o longa-metragem que o catapultará ao estrelato: ""The Room""."
The Post - A Guerra Secreta,"Kat Graham (Meryl Streep) é a dona do The Washington Post, um jornal local que está prestes a lançar suas ações na Bolsa de Valores de forma a se capitalizar e, consequentemente, ganhar fôlego financeiro. Ben Bradlee (Tom Hanks) é o editor-chefe do jornal, ávido por alguma grande notícia que possa fazer com que o jornal suba de patamar no sempre acirrado mercado jornalístico. Quando o New York Times inicia uma série de matérias denunciando que vários governos norte-americanos mentiram acerca da atuação do país na Guerra do Vietnã, com base em documentos sigilosos do Pentágono, o presidente Richard Nixon decide processar o jornal com base na Lei de Espionagem, de forma que nada mais seja divulgado. A proibição é concedida por um juiz, o que faz com que os documentos cheguem às mãos de Bradlee e sua equipe, que precisa agora convencer Kat e os demais responsáveis pelo The Post sobre a importância da publicação de forma a defender a liberdade de imprensa."
"Visages, Villages","O documentário retrata uma experiência fotográfica e cinematográfica de dois talentos mundialmente reconhecidas por questionarem a cultura da exibição das imagens: Agnès Varda, cineasta, e JR, fotógrafo e criador de galerias e exposições fotográficas ao ar livre. Juntos, eles viajam por regiões da França bem longe dos centros urbanos, com um caminhão que captura imagens de forma mágica."
Sem Fôlego,"Gunlint, Minnesota, 1977. Ao atender um telefonema, o garoto Ben (Oakes Fegley) é atingido pelo reflexo de um raio, que caiu bem em sua casa. Esta situação faz com que seja levado a um hospital em Nova York, onde descobre que não consegue mais ouvir um som sequer. Em 1927, a jovem surda Rose (Millicent Simonds) foge de sua casa em Nova York para encontrar sua mãe, a consagrada atriz Lillian Mayhew (Julianne Moore). A vida destes dois garotos que não conseguem mais ouvir está interligada a partir de um livro de curiosidades, que os leva ao Museu de História Natural."
Encolhi a Professora,"O jovem Felix Vorndran (Oskar Keymer) estuda em uma escola cuja diretora, Frau Dr. Schmitt-Gössenwein (Anja Kling), é uma verdadeira peste. Certo dia, Felix, determinado a se vingar desta professora, arma um esquema maluco que tem consequências complicadas: a diretora acaba encolhendo, se tornando uma miniatura de si mesma."
Peixonauta - O Filme,"Peixonauta, Marina e Zico saem do Parque em busca do Dr. Jardim e dos primos Pedro e Juca, mas ao chegarem à cidade grande encontram tudo vazio. Após investigarem melhor, percebem que as pessoas não sumiram, mas sim encolheram. Intrigados e correndo contra o tempo, Peixonauta e seus amigos precisam desvendar a causa do fenômeno e salvar a população do desaparecimento completo."
A Forma da Água,"Década de 60. Em meio aos grandes conflitos políticos e transformações sociais dos Estados Unidos da Guerra Fria, a muda Elisa (Sally Hawkins), zeladora em um laboratório experimental secreto do governo, se afeiçoa a uma criatura fantástica mantida presa e maltratada no local. Para executar um arriscado e apaixonado resgate ela recorre ao melhor amigo Giles (Richard Jenkins) e à colega de turno Zelda (Octavia Spencer)."
Todo o Dinheiro do Mundo,"Itália, 1973. John Paul Getty III (Charlie Plummer) é o neto favorito do magnata do petróleo J. Paul Getty (Christopher Plummer), um dos primeiros bilionários da história da humanidade. O sequestro do rapaz coloca a sua mãe, Gail Harris (Michelle Williams), em uma corrida desesperada para convencer o ex-sogro a pagar o resgate milionário do filho. Frio, manipulador e mesquinho, Getty irá encarregar o ex-espião Fletcher Chase (Mark Wahlberg), seu homem de confiança, de descobrir quem e o que está por trás do crime, solucionando o problema sem o desperdício de nenhum centavo de sua fortuna."
Paddington 2,"Após ser adotado pela família Brown, Paddington ganhou muita popularidade na comunidade de Windsor Gardens. No aniversario de 100 anos de sua tia Lucy, esse simpático ursinho sai em busca do presente perfeito e acaba encontrando um livro único na loja de antiguidades do senhor Gruber. Paddington se submete a uma série de trabalhos bizarros para poder comprá-lo, e quando o livro é roubado, ele e sua família farão de tudo para encontrar o ladrão."
A Repartição do Tempo,"Brasília, início da década de 1980. O REPI (Registro de Patentes e Invenções) acaba de ser capa de uma importante revista nacional, que o coloca como exemplo da burocracia existente no governo. Lisboa (Eucir de Souza), o chefe, não gosta nem um pouco da reportagem e decide cobrar atitude de seus funcionários, que fazem de tudo menos trabalhar. Paralelamente, o Dr. Brasil (Tonico Pereira) deseja patentear uma máquina do tempo e a deixa no REPI. Ao colocar o aparelho no estoque, Jonas (Edu Moraes) acidentalmente o aciona e, consequentemente, volta no tempo."
De Volta,"Nada (Golshifteh Farahani) voltou para casa, ou pelo menos é o que achava. De volta ao Líbano, ela percebe que é uma estrangeira em seu próprio país, mas ainda há um lugar que ela pode chamar de lar: uma casa abandonada em ruínas e assombrada pela presença de seu avô que desapareceu misteriosamente durante a guerra civil. "
Cinquenta Tons de Liberdade,"Superados os principais problemas, Anastasia (Dakota Johnson) e Christian (Jamie Dornan) agora têm amor, intimidade, dinheiro, sexo, relacionamento estável e um promissor futuro. A vida, no entanto, ainda reserva surpresas para os dois e fantasmas do passado como Jack Hyde (Eric Johnson) e Elena Lincoln (Kim Basinger) voltam a impedir a paz do casal."
O Sacrifício do Cervo Sagrado,"Steven (Colin Farrell) é um cardiologista conceituado que é casado com Anna (Nicole Kidman), com quem tem dois filhos: Kim (Raffey Cassidy) e Bob (Sunny Suljic). Já há algum tempo ele mantém contato frequente com Martin (Barry Keoghan), um adolescente cujo pai morreu na mesa de operação, justamente quando era operado por Steven. Ele gosta bastante do garoto, tanto que lhe dá presentes e decide apresentá-lo à família. Entretanto, quando o jovem não recebe mais a atenção de antigamente, decide elaborar um plano de vingança."
Sem Amor,"Boris (Alexey Rozin) e Zhenya (Maryana Spivak) estão se divorciando. Depois de anos juntos, os dois se preparam para suas novas vidas: ele com sua nova namorada, que está grávida, e ela com seu parceiro rico. Com tantas preocupações eles acabam não dando atenção ao filho Alyosha (Matvey Novikov), que acaba desaparecendo misteriosamente."
O Que Te Faz Mais Forte,"As memórias de Jeff Bauman (Jake Gyllenhaal) sobre o dia mais impactante de sua vida, 15 de abril de 2013. Enquanto esperava seu grande amor, Erin (Tatiana Maslany), finalizar a participação na Maratona de Boston, ele foi atingido por uma das bombas do atentado terrorista e perdeu as duas pernas."
O Carma de um Assassino,"Mike Fallon (Scott Adkins) é um assassino profissional que tem como maior habilidade fazer com que as suas mortes se pareçam com acidentes comuns. Apesar de se considerar um homem de princípios, ele abandona suas idelogias quando descobre que sua ex-namorada, Beth (Brooke Johnston), foi assassinada brutalmente. Ele, então, inicia uma jornada de vingança para perseguir e matar os responsáveis."
O Insulto,"Beirute. Toni (Adel Karam) é um cristão libanês que sempre rega as plantas de sua varanda e um dia, acidentalmente, acaba molhando Yasser (Kamel El Basha), um refugiado palestino. Assim começa um intenso desacordo que evolui para julgamento com ampla cobertura midiática e toma dimensão nacional."
Meu Amigo Vampiro,"Entendiado em seu 13º aniversário pelo 300º ano, o vampiro Rudolph decide iniciar uma ousada aventura: ir para o mundo dos humanos buscar por novidades. Assim ele começa uma amizade improvável com Tony, adolescente de 12 anos apaixonado por lendas vampirescas. Mas o que não imagina é que um caçador pretende capturá-lo a qualquer custo."
Acossado,"Após roubar um carro em Marselha, Michel Poiccard (Jean-Paul Belmondo) ruma para Paris. No caminho mata um policial, que tentou prendê-lo por excesso de velocidade, e em Paris persuade a relutante Patricia Franchisi (Jean Seberg), uma estudante americana com quem se envolveu, para escondê-lo até receber o dinheiro que lhe devem. Michel promete a Patricia que irão juntos para a Itália, no entanto o crime de Michel está nos jornais e agora não há opção. Ele fica escondido no apartamento de Patricia, onde conversam, namoram, ele fala sobre a morte e ela diz que quer ficar grávida dele. Ele perde a consciência da situação na qual se encontra e anda pela cidade cometendo pequenos delitos, mas quando é visto por um informante começa o final da sua trágica perseguição."
Pantera Negra,"Após a morte do rei T'Chaka (John Kani), o príncipe T'Challa (Chadwick Boseman) retorna a Wakanda para a cerimônia de coroação. Nela são reunidas as cinco tribos que compõem o reino, sendo que uma delas, os Jabari, não apoia o atual governo. T'Challa logo recebe o apoio de Okoye (Danai Gurira), a chefe da guarda de Wakanda, da irmã Shuri (Letitia Wright), que coordena a área tecnológica do reino, e também de Nakia (Lupita Nyong'o), a grande paixão do atual Pantera Negra, que não quer se tornar rainha. Juntos, eles estão à procura de Ulysses Klaue (Andy Serkis), que roubou de Wakanda um punhado de vibranium, alguns anos atrás."
"Eu, Tonya","Desde muito pequena exibindo talento para patinação artística no gelo, Tonya Harding (Margot Robbie) cresce se destacando no esporte e aguentando maus-tratos e humilhações por parte da agressiva mãe (Allison Janney). Entre altos e baixos na carreira e idas e vindas num relacionamento abusivo com Jeff Gillooly (Sebastian Stan), a atleta acaba envolvida num plano bizarro durante a preparação para os Jogos Olímpicos de Inverno de 1994. Baseado em fatos reais."
Três Anúncios para um Crime,"Inconformada com a ineficácia da polícia em encontrar o culpado pelo brutal assassinato de sua filha, Mildred Hayes (Frances McDormand) decide chamar atenção para o caso não solucionado alugando três outdoors em uma estrada raramente usada. A inesperada atitude repercute em toda a cidade e suas consequências afetam várias pessoas, especialmente a própria Mildred e o Delegado Willoughby (Woody Harrelson), responsável pela investigação."
Lady Bird - A Hora de Voar,"Christine McPherson (Saoirse Ronan) está no último ano do ensino médio e o que mais deseja é ir fazer faculdade longe de Sacramento, Califórnia, ideia firmemente rejeitada por sua mãe (Laurie Metcalf). Lady Bird, como a garota de forte personalidade exige ser chamada, não se dá por vencida e leva o plano de ir embora adiante mesmo assim. Enquanto sua hora não chega, no entanto, ela se divide entre as obrigações estudantis no colégio católico, o primeiro namoro, típicos rituais de passagem para a vida adulta e inúmeros desentendimentos com a progenitora."
Antes do Fim,"Jean sente-se preso na lógica de longevidade e decide planejar sua morte conscientemente. Para isso, ele convida Helena para um suicídio a dois, e mesmo hesitante, ela o ajuda em seus planos. Juntos eles preparam todos os detalhes para o funeral, mas enquanto seguem em direção à morte se dão conta de que antes do fim ainda há uma vida inteira."
Mudbound - Lágrimas Sobre o Mississippi,"A tímida Laura (Carey Mulligan) acredita ter tirado a sorte grande quando encontra Henry McAllan (Jason Clarke), um homem um pouco bruto, mas interessado nela. Logo após o casamento, a família se muda para uma fazenda no chuvoso delta do Rio Mississipi. Enquanto Laura enfrenta dificuldades para se adaptar à vida rural, ela é confrontada com uma família negra, os Jackson, responsáveis por ajudar no trabalho pesado com o plantio e a colheita. Duas posições muito distintas se desenham na família: enquanto o pai idoso de Henry, Poppy McAllan (Jonathan Banks), luta para manter os privilégios dos brancos no terreno, o irmão de Henry, Jamie McAllan (Garrett Hedlund), desenvolve uma boa amizade com o filho dos caseiros, Ronsell Jackson (Jason Mitchell), pelo fato de ambos compartilharem traumas da guerra. Um violento conflito de etnias, gêneros e classes sociais marca a convivência entre os McAllan e os Jackson."
Trama Fantasma,"Década de 1950. Reynolds Woodcock (Daniel Day-Lewis) é um renomado e confiante estilista que trabalha ao lado da irmã, Cyril (Lesley Manville), para vestir grandes nomes da realeza e da elite britânica. Sua inspiração surge através das mulheres que constantemente entram e saem de sua vida. Mas tudo muda quando ele conhece a forte e inteligente Alma (Vicky Krieps), que vira sua musa e amante."
Pequena Grande Vida,"Na cidade de Omaha, as pessoas descobrem a possibilidade de reduzir de tamanho para uma versão minúscula, a fim de terem menos gastos vivendo em pequenas comunidades que se espalham pelo mundo. Encantado após ter contato com amigos que passaram pelo processo, um homem (Matt Damon) decide convencer sua esposa (Kristen Wiig) a adotar o curioso novo estilo econômico de vida."
A Grande Jogada,"Após perder a chance de participar dos Jogos Olímpicos devido a uma fatalidade que resultou em um grave acidente, a esquiadora Molly Bloom (Jessica Chastain) decide tirar um ano de folga dos estudos e ir trabalhar como garçonete em Los Angeles. Lá conhece Dean Keith (Jeremy Strong), um produtor de cinema que decide contratá-la como assistente. Logo Molly passa a coordenar jogos de cartas clandestinos, organizados por Dean, que conta com clientes muito ricos e famosos. Fascinada com o ambiente e a possibilidade de enriquecer facilmente, Molly começa a prestar atenção a todos os detalhes para que ela própria possa organizar jogos do tipo."
Minha Amiga do Parque,"Liz (Julieta Zylberberg) é uma mãe de primeira viagem que está cuidando sozinha do filho enquanto o marido viaja à trabalho. Ela começa a frequentar uma pracinha, point de de mães e pais, e lá conhece Rosa (Ana Katz), com quem estebelece ligação imediata. Logo elas trocam confissões, apoiam uma a outra e até passam por pequenas aventuras. No entanto, quando as mentiras de Rosa se revelam, seus pedidos ficam cada vez mais esquisitos e suas ações imprevisíveis, Liz percebe que não sabe com quem está lidando."
Paulistas,"Através do olhar dos irmãos Samuel, Vinícius e Rafael, o documentário apresenta as transformações de Paulistas, região rural de Goiás. Os três se mudaram para Catalão, que fica na região urbana, deixando para trás a cidade onde nasceram, para onde voltam no período de férias."
Operação Red Sparrow,"Outrora talentosa bailarina, Dominika Egorova (Jennifer Lawrence) encontra-se em maus bocados quando é convencida a se tornar uma Sparrow, ou seja, uma sedudora treinada na melhor escola de espionagem russa. Após passar pelo árduo processo de aprendizagem, ela se torna a mais talentosa espiã do país e precisa lidar com o agente da CIA Nathaniel Nash (Joel Edgerton). Os dois, no entanto, acabam desenvolvendo uma paixão proibida que ameaça não só suas vidas, mas também as de outras pessoas."
A Maldição da Casa Winchester,"Herdeira de uma empresa de armas de fogo, Sarah Winchester (Helen Mirren) está convicta de que é assombrada pelas almas mortas através do rifle da família Winchester. Após as repentinas mortes do marido e do filho, ela decide construir uma mansão para afastar os espíritos e ao avaliá-la o psiquiatra Eric Price (Jason Clarke) percebe que talvez sua obsessão não seja tão insana quanto parece."
Projeto Flórida,"Moonee (Brooklynn Prince), uma agitada garotinha de seis anos, apronta com o vizinho Scooty (Christopher Rivera) e faz novas amizades nas redondezas dos parques Disney. Ela vive com a mãe (Bria Vinaite) numa hospedagem de beira de estrada e as duas contam com a proteção do gerente Bobby (Willem Dafoe) na batalha diária pela sobrevivência com poucos recursos e muitos riscos."
Motorrad,"Um dos grandes desejos de Hugo (Guilherme Prates) é conseguir fazer parte do grupo de motocross do seu irmão mais velho. Decidido, ele rouba algumas peças para que possa montar sua motocicleta. Quando consegue o feito, ele encontra com a turma do irmão em uma cachoeira remota, onde fazem uma trilha e se deparam com um antigo muro. Hugo sugere que eles desmontem o muro e sigam a aventura, mas acabam encontrando a dona do ferro-velho de onde Hugo roubou as peças. Ela os convida para um caminho ainda mais radical, só que a diversão vira uma corrida pela sobrevivência quando eles passam a ser perseguidos por motoqueiros sádicos e sobrenaturais."
Duda e os Gnomos,"Duda e sua mãe, Catherine, estão de mudança novamente. Desta vez elas irão morar em uma imensa casa, com fama de mal-assombrada, que possui vários gnomos de jardim. Após encontrar uma sala secreta e de lá retirar um cristal inusitado, Duda é surpreendida com o fato de que os gnomos têm vida e precisam sempre combater os trogs, seres de outra dimensão que devoram tudo o que vêem pela frente."
Todas as Razões para Esquecer,"Ao terminar um relacionamento, Antonio (Johnny Massaro) acreditava que não teria dificuldades em superar a ex-namorada. Contudo seus sentimentos não condizem com sua postura, pois à medida que o tempo passa a dor da perda se acentua e paliativos como calmantes, bebidas e aplicativos de pegação se mostram incapazes de dimuní-la."
Cartas para um Ladrão de Livros,"Laessio Rodrigues de Oliveira, ex-ajudante de pizzaiolo em São Bernardo do Campo, SP, estampou diversas vezes o noticiário policial por uma série de crimes curiosos: ele era maior ladrão de livros raros do Brasil. Depois de comandar o esquema até de dentro da cadeia, o  fã incondicional de Carmen Miranda decide contar tudo de cara limpa."
Piripkura,"Os únicos sobreviventes do povo indígena Piripkura estão vivendo em uma área protegida no Mato Grosso. Cercados por fazendas, eles vivem com um machado velho e uma pequena tocha acesa pela última vez em 1998. Para que a área continue sob proteção, a cada dois anos uma expedição da FUNAI vai ao local assegurar que os dois ainda estão vivos."
Os Farofeiros,"Quatro colegas de trabalho se programam para curtir o feriado prolongado em uma casa de praia e, chegando lá, descobrem que se meteram em uma tremenda roubada. Para começar o destino não é Búzios, mas Maringuaba; a residência alugada é encontrada caindo aos pedaços, bem diferente do prometido; a praia está sempre cheia; e as confusões são inúmeras."
Medo Profundo,"De férias no México, duas irmãs estão prestes a passar pelos momentos de maior tensão em sua vida: presas em uma gaiola de tubarões a 47 metros de profundidade no oceano, eles terão que lutar contra o tempo para permanecerem vivas. Mas com apenas uma hora de oxigênio e com tubarões brancos rondando o local, as chances se tornam cada vez menores."
