"Codigo da obra";"Titulo Original";"Titulo no Brasil";"Ano de produc?o";"Diretor";"Raz?o Social do Requerente";"CNPJ Requerente";"Data de liberac?o p exibic?o"
"14025172";"NO COUNTRY FOR OLD MEN";"ONDE OS FRACOS NÃO TEM VEZ";"2007";"ETHAN COEN";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"10-JAN-08"
"271750";"AS APRENDIZES";"AS APRENDIZES";"2007";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"26-MAY-08"
"273090";"A AMANTE";"A AMANTE";"2007";"JOSE ANTONIO GASPAR RAMOS";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"02-JUN-08"
"16006113";"OVER HER DEAD BODY";"NEM POR CIMA DO MEU CADÁVER";"2008";"JEFF LOWELL";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"19-SEP-08"
"332754";"COM A BOLA TODA";"COM A BOLA TODA";"2008";"JOSE ANTONIO GASPAR RAMOS";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"31-DEC-08"
"16006197";"REC";"REC";"2007";"JAUME BALAGUERO";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"08-OCT-08"
"14026067";"CHANGELING";"A TROCA";"2008";"CLINT EASTWOOD";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"28-NOV-08"
"352506";"SILVIA SAENZ TOTAL";"SILVIA SAENZ TOTAL";"2009";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"21-SEP-09"
"16005889";"HOME";"HOME - NOSSO PLANETA, NOSSA CASA";"2009";"YANN ARTHUS-BERTRAND";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"18-MAY-09"
"14028204";"SPREAD";"JOGANDO COM PRAZER";"2009";"DAVID MACKENZIE";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"08-JUN-09"
"382023";"ELIAS AND THE ROYAL YACHT";"ELIAS ¿ AVENTURAS A BORDO";"2007";"ESPEN FYKSEN";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"22-JUL-09"
"391452";"VIAJO PORQUE PRECISO, VOLTO PORQUE TE AMO";"VIAJO PORQUE PRECISO, VOLTO PORQUE TE AMO";"2009";"MARCELO GOMES";"REC PRODUTORES ASSOCIADOS LTDA";"02.669.022/0001-74";"21-SEP-09"
"399359";"CORPOS CELESTES";"CORPOS CELESTES";"2009";"LUIS FERNANDO SEVERO";"CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME";"03.675.713/0001-43";"04-FEB-11"
"429494";"BR-3 DOCUMENTÁRIO";"BR-3 DOCUMENTÁRIO";"2009";"EVALDO SERGIO VINAGRE MOCARZEL";"CASA AZUL PRODUÇÕES ARTISTICAS LTDA";"06.159.269/0001-00";"01-APR-10"
"16006332";"THE BACK-UP PLAN";"PLANO B";"2010";"ALAN POUL";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"04-MAY-10"
"442084";"NÃO SE PODE VIVER SEM AMOR";"NÃO SE PODE VIVER SEM AMOR";"2010";"JORGE FERNANDO DURAN PARRA";"PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP";"08.656.129/0001-64";"02-MAR-11"
"474058";"MAPAS DOS AFETOS";"MAPAS DOS AFETOS";"2010";"JÚLIO CÉSAR BARBOSA LELIS";"SINOS PRODUÇÕES AUDIOVISUAIS LTDA";"07.966.687/0001-63";"08-MAR-16"
"15002342";"PREDATORS";"PREDADORES";"2010";"NIMRÓD ANTAL";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"12-JUL-10"
"479005";"SOBERANO - SEIS VEZES SÃO PAULO";"SOBERANO - SEIS VEZES SÃO PAULO";"2010";"CARLOS NADER";"G7 CINEMA LTDA.";"07.139.247/0001-32";"13-AUG-10"
"16006365";"VAMPIRES SUCK";"OS VAMPIROS QUE SE MORDAM";"2010";"JASON FRIEDBERG, AARON SELTZER";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"09-SEP-10"
"16005920";"INSIDE JOB";"TRABALHO INTERNO";"2010";"CHARLES FERGUSON";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"20-SEP-10"
"518742";"ABRA A FELICIDADE";"ABRA A FELICIDADE";"2010";"PIETRO TRUFFI SARGENTELLI";"HUNGRY MAN BRASIL PRODUÇÕES LTDA.";"07.630.900/0001-61";"03-JUN-15"
"525960";"ESTRADA PARA YTHACA";"ESTRADA PARA YTHACA";"2010";"RICARDO ARARIPE PRETTI MIRANDA";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"06-APR-11"
"555524";"ACASAELETRICA.DOC";"ACASAELETRICA.DOC";"2011";"GUSTAVO CARVALHO FOGACA DE MEDEIROS";"PANDA FILMES LTDA";"04.980.287/0001-14";"27-MAY-13"
"578281";"CAPITÃES DA AREIA";"CAPITÃES DA AREIA";"2011";"CECILIA AMADO COSTA";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"03-JUN-15"
"578288";"MÃE E FILHA";"MÃE E FILHA";"2011";"PETRUS CARIRY";"FREDERICO DA CRUZ MACHADO - ME";"03.553.092/0001-25";"26-OCT-11"
"590604";"VALE DOS ESQUECIDOS";"VALE DOS ESQUECIDOS";"2011";"MARIA CARVALHO RADUAN";"TUCURA FILMES LTDA";"08.635.790/0001-93";"24-NOV-11"
"618226";"DOIS COELHOS";"DOIS COELHOS";"2011";"AFONSO JOSE DA SILVA POYART";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"03-JUN-15"
"16002081";"BREAKING WIND";"A SAGA MOLUSCO - ANOITECER";"2012";"CRAIG MOSS";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"22-DEC-11"
"14026044";"AMERICAN REUNION";"AMERICAN PIE - O REENCONTRO";"2012";"HAYDEN SCHLOSSBERG";" ESFERA PRODUÇÕES CULTURAIS EIRELI - EPP";"11.579.388/0001-43";"07-MAY-12"
"679650";"ESPIA SÓ";"ESPIA SÓ";"2012";"SATURNINO ANTONIO DA ROCHA";"GUARUJÁ PRODUÇÕES LTDA";"92.554.294/0001-11";"06-FEB-13"
"16001201";"LONE SURVIVOR";"O GRANDE HERÓI";"2013";"PETER BERG";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"17-JAN-14"
"16001863";"SILENT HILL: REVELATION";"SILENT HILL: REVELAÇÃO";"2012";"MICHAEL J. BASSETT";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"09-APR-13"
"15006700";"PARAISO";"PARAÍSO";"2013";"MARIANA CHENILLO";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"30-JUL-14"
"713136";"A BALADA DO PROVISÓRIO";"A BALADA DO PROVISÓRIO";"2012";"FELIPE DAVID RODRIGUES";"MARIA GORDA PRODUCOES ARTISTICAS LTDA";"10.320.244/0001-05";"12-MAR-14"
"713230";"A ALMA DA GENTE";"A ALMA DA GENTE";"2013";"DAVID YALE MEYER";"RADIANTE FILMES LTDA";"02.376.263/0001-25";"12-JUL-13"
"15002983";"LA GRANDE BELLEZZA";"A GRANDE BELEZA";"2013";"PAOLO SORRENTINO";"MARES FILMES LTDA";"07.257.887/0001-47";"13-NOV-13"
"3818";"MARIA, MÃE DO FILHO DE DEUS";"MARIA, MÃE DO FILHO DE DEUS";"2003";"MOACYR GOES";"DILER & ASSOCIADOS LTDA";"00.291.470/0001-51";"13-NOV-03"
"15000455";"BREATHE IN";"PAIXÃO INOCENTE";"2013";"DRAKE DOREMUS";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"21-MAY-14"
"15001070";"2 GUNS";"DOSE DUPLA";"2013";"BALTASAR KORMÁKUR";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"14-JUN-13"
"15001752";"GANGS OF NEW YORK";"GANGUES DE NOVA YORK";"2002";"MARTIN SCORSESE";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-JUL-02"
"16001128";"NEUF MOIS FERME";"UMA JUIZA SEM JUIZO";"2012";"ALBERT DUPONTEL";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"06-MAY-14"
"16001579";"JOVEN Y ALOCADA";"JOVEM ALOUCADA";"2012";"MARIALY RIVAS";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"25-JUN-13"
"16006075";"MARINA";"MARINA";"2013";"STIJN CONINX";"CIRCUITO CINEARTE LTDA";"01.425.583/0001-65";"03-JUN-15"
"711625";"RAPSÓDIA ARMÊNIA";"RAPSÓDIA ARMÊNIA";"2012";"CASSIANA DER HAROUTIOUNIAN";"CESAR AUGUSTO GANANIAN";"308.973.778-77";"20-AUG-13"
"731180";"SOBREVIVENTE URBANO";"SOBREVIVENTE URBANO";"2014";"JOSE CLAUDIO CUNHA E SILVA";"ZE´S PRODUÇÕES LTDA.";"04.734.514/0001-21";"08-SEP-14"
"13561";"DESMUNDO";"DESMUNDO";"2001";"ALAIN FRESNOT";"A.F. CINEMA E VÍDEO LTDA";"69.126.670/0001-55";"06-MAY-03"
"123709";"CASSETA E PLANETA 2 - SEUS PROBLEMAS ACABARAM";"CASSETA E PLANETA 2 - SEUS PROBLEMAS ACABARAM";"2006";"JOSE LAVIGNE DE LEMOS FILHO";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"08-AUG-06"
"11932";"THE GOOD GIRL";"POR UM SENTIDO NA VIDA";"2002";"MIGUEL ARTETA";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"20-MAR-03"
"4718";"DOUBLE VISION";"A SER DEFINIDO";"2002";"KUO-FU CHEN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"17-JAN-03"
"1376";"BOWLING FOR COLUMBINE";"TIROS EM COLUMBINE ";"2002";"MICHAEL MOORE";"ACTIVITY FILMES DO BRASIL LTDA.";"04.268.162/0001-66";"13-MAY-03"
"5860";"BELOW";"SUBMERSOS";"2002";"DAVID N. TWOHY";"EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A";"01.610.349/0001-08";"29-AUG-03"
"16002658";"DOWN WITH LOVE";"ABAIXO O AMOR";"2003";"PEYTON REED";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"12-SEP-03"
"4709";"CORAZON DEL FUEGO";"CORAÇÃO DE FOGO";"2001";"DIEGO ARSUAGA";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"08-SEP-03"
"7270";"SCHOOL OF ROCK";"ESCOLA DE ROCK";"2003";"RICHARD LINKLATER";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"08-JAN-04"
"7627";"RESPIRO (GRAZIA'S ISLAND)";"RESPIRO";"2003";"EMANUELE CRIALESE";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"26-FEB-04"
"8814";"LA CIENAGA";"O PANTANO";"2001";"LUCRECIA MARTEL";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"13-MAY-04"
"4691";"BON VOYAGE";"VIAGEM DO CORAÇÃO";"2003";"JEAN-PAUL RAPPENEAU";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"23-AUG-04"
"16004276";"HERO";"HERO";"2002";"YIMOU ZHANG";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"22-OCT-04"
"5783";"DEPUIS QU'OTAR EST PARTI";"DESDE QUE OTAR PARTIU";"2003";"JULIE BERTUCCELLI";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"05-JAN-05"
"7710";"IN GOOD COMPANY";"EM BOA COMPANHIA";"2004";"PAUL WEITZ";"AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA)";"57.695.371/0001-52";"14-MAR-05"
"4879";"UNDERWORLD: EVOLUTION (AKA UNDERWORLD 2)";"ANJOS DA NOITE: A EVOLUÇÃO";"2005";"LEN WISEMAN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"29-APR-05"
"15019";"THE BROTHER'S GRIMM";"OS IRMÃOS GRIMM";"2005";"TERRY GILLIAN";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"15-AUG-05"
"15062";"CHEAPER BY THE DOZEN 2";"DOZE É DEMAIS 2";"2005";"ADAM SHANKMAN";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"05-DEC-05"
"15079";"SOY CUBA, O MAMUTE SIBERIANO";"SOY CUBA, O MAMUTE SIBERIANO";"2004";"VICENTE FERRAZ";"TRES MUNDOS CINE Y VIDEO LTDA.";"01.713.311/0001-60";"16-NOV-05"
"15085";"MANUALE D'AMORE";"O MANUAL DO AMOR";"2005";"GIOVANNI VERONESI";"ALIANCE EMPRESA DE AUDIOVISUAL EIRELI";"04.556.166/0001-40";"09-JAN-06"
"15192";"SHANGHAI DREAMS (AKA: QING HONG)";"SHANGHAI DREAMS (AKA: QING HONG) ";"2005";"WANG XIAOSHUAI";"AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA)";"57.695.371/0001-52";"30-MAR-06"
"146951";"O VERDADEIRO FENÔMENO, O";"O VERDADEIRO FENÔMENO, O";"2006";"SANDRO LIMA";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"19-JAN-07"
"123356";"ESPELHO MAGICO";"ESPELHO MAGICO";"2005";"MANOEL DE OLIVEIRA FILHO";"ALIANCE EMPRESA DE AUDIOVISUAL EIRELI";"04.556.166/0001-40";"25-OCT-06"
"15000952";"THE DEPARTED";"OS INFILTRADOS";"2006";"MARTIN SCORSESE";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"09-OCT-06"
"134030";"AZUR ET ASMAR";"AS AVENTURAS DE AZUR E ASMAR";"2006";"MICHEL OCELOT";"FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.";"07.616.202/0001-01";"20-OCT-06"
"16005925";"JE M'APPELLE ELISABETH";"EU ME CHAMO ELIZABETH";"2006";"JEAN-PIERRE AMERIS";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"19-DEC-06"
"168428";"VIÚVA RICA SOLTEIRA NÃO FICA";"VIÚVA RICA SOLTEIRA NÃO FICA";"2006";"JOSÉ FONSECA E COSTA";"PLATEAU MARKETING E PRODUÇÕES CULTURAIS LTDA";"74.425.067/0001-04";"14-MAR-07"
"318391";"FÉRIAS FRUSTADAS";"FÉRIAS FRUSTADAS";"2005";"MARIANA LINHARES CALTABIANO";"MARIANA CALTABIANO CRIAÇÕES LTDA";"01.833.200/0001-98";"17-NOV-08"
"223010";"WE OWN THE NIGHT";"OS DONOS DA NOITE";"2007";"JAMES GRAY";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"23-OCT-07"
"271751";"NA TEIA DO SEXO";"NA TEIA DO SEXO";"2007";"JOSE ANTONIO GASPAR RAMOS";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"26-MAY-08"
"273389";"ÚLTIMO TANGO EM BUENOS AIRES";"ÚLTIMO TANGO EM BUENOS AIRES";"2007";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"02-JUN-08"
"274713";"ASSEDIO SEXUAL";"ASSEDIO SEXUAL";"2005";"GILBERTO DONATELLI";"INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA";"02.740.650/0001-07";"02-JUN-08"
"309601";"FELIZ NATAL";"FELIZ NATAL";"2008";"SELTON FIGUEIREDO MELO";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"17-NOV-08"
"16005443";"LEMON TREE";"OS LIMOEIROS";"2008";"ERAN RIKLIS";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"25-JUN-08"
"16005420";"GOODBYE BAFANA";"A COR DA LIBERDADE";"2007";"BILLE AUGUST";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"26-JUN-08"
"303489";"A MULHER DO MEU AMIGO";"A MULHER DO MEU AMIGO";"2008";"CLAUDIO PINHEIRO MONTEIRO TORRES";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-SEP-08"
"16006229";"SEX DRIVE";"SEX DRIVE: RUMO AO SEXO";"2008";"SEAN ANDERS";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"12-NOV-08"
"16005631";"DIARIO DE UNA NINFÓMANA";"DIÁRIO PROIBIDO";"2008";"CHRISTIAN MOLINA";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"19-JAN-09"
"355951";"A MULHER INVISÍVEL";"A MULHER INVISÍVEL";"2008";"CLAUDIO PINHEIRO MONTEIRO TORRES";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"21-MAY-09"
"416552";"O SEGREDO DAS NINFAS";"O SEGREDO DAS NINFAS";"2009";"M. MAX";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"07-APR-10"
"444299";"INSOLAÇÃO";"INSOLAÇÃO";"2009";"DANIELA GONTIJO ALVES PINTO";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"12-MAR-10"
"475303";"BANHO DE SEXO";"BANHO DE SEXO";"2008";"JULIANO COSTA BENDAZOLI";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"27-DEC-10"
"16006214";"SALT";"SALT";"2010";"PHILLIP NOYCE";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"03-JUN-15"
"15004290";"LES AVENTURES EXTRAORDINAIRES D'ADÈLE BLANC-SEC";"AS MÚMIAS DO FARAÓ";"2010";"LUC BESSON";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"03-JUN-15"
"16005506";"AMINTIRI DIN EPOCA DE AUR";"CONTOS DA ERA DOURADA";"2009";"IOANA URICARU;CONSTANTIN POPESCU;RAZVAN MARCULESCU;HANNO HÖFER;CRISTIAN MUNGIU";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"02-SEP-10"
"508544";"O MANUSCRITO PERDIDO";"O MANUSCRITO PERDIDO";"2010";"JOSE DUARTE SEIXO BARAHONA FERNANDES";"REFINARIA PRODUÇÕES LTDA.";"05.436.489/0001-62";"12-NOV-12"
"14027117";"TRUE GRIT";"BRAVURA INDÔMITA";"2010";"ETHAN COEN";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"07-JAN-11"
"16002480";"THE WAY BACK";"CAMINHO DA LIBERDADE";"2010";"PETER WEIR";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"03-JUN-15"
"16002470";"S.O.S. STRETCHED OUT SNATCHN";"O DESAFIANTE";"2005";"TYRONE SHUZ";"F. J. VIDEO LTDA";"53.625.075/0001-24";"03-JUN-15"
"552697";"TRABALHAR CANSA";"TRABALHAR CANSA";"2010";"JULIANA DE ARAUJO ROJAS";"DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP";"66.876.707/0001-74";"03-JUN-15"
"16002179";"THE LION KING";"O REI LEÃO";"1994";"ROGER ALLERS, ROB MINKOFF";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"03-JUN-15"
"15008821";"LATE BLOOMERS";"LATE BLOOMERS - O AMOR NÃO TEM FIM";"2011";"JULIE GAVRAS";"SERENDIP FILMES LTDA";"06.911.780/0001-08";"03-JUN-15"
"590616";"EXTERIOR - ELA SONHOU QUE EU MORRI";"EXTERIOR - ELA SONHOU QUE EU MORRI";"2010";"MAIRA SANTI BUHLER";"PRIMO FILMES LTDA";"06.137.016/0001-27";"05-APR-12"
"15004241";"DRIVE";"DRIVE";"2011";"NICOLAS WINDING REFN";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"01-DEC-11"
"15005755";"EL BAILE DE LA VICTORIA";"A DANÇARINA E O LADRÃO";"2009";"FERNANDO TRUEBA";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"03-JUN-15"
"14025901";"THAT'S MY BOY";"ESTE É O MEU GAROTO";"2012";"SEAN ANDERS";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"11-APR-12"
"629294";"A CIDADE É UMA SÓ?";"A CIDADE É UMA SÓ?";"2012";"ADIRLEY QUEIROS DE ANDRADE";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"05-OCT-17"
"652954";"MENOS QUE NADA";"MENOS QUE NADA";"2012";"CARLOS GERBASE";"INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.";"90.130.634/0001-51";"16-JUL-12"
"655791";"5 X PACIFICAÇÃO";"5 X PACIFICAÇÃO";"2012";"RODRIGO SIMPLICIO VERAS";"LUZ MÁGICA PRODUÇÕES AUDIOVISUAIS LTDA";"73.586.513/0001-08";"03-DEC-12"
"16001781";"THE SECRET OF WINGS";"TINKER BELL - O SEGREDO DAS FADAS";"2012";"ROBERTS GANNAWAY";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"14-JUN-12"
"16001781";"THE SECRET OF WINGS";"TINKER BELL - O SEGREDO DAS FADAS";"2012";"PEGGY HOLMES";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"14-JUN-12"
"681756";"NOVE CRÔNICAS PARA UM CORAÇÃO AOS BERROS";"NOVE CRÔNICAS PARA UM CORAÇÃO AOS BERROS";"2012";"GUSTAVO GALVAO DINIZ TORREAO BRAZ";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"16-SEP-13"
"15005753";"ELEFANTE BLANCO";"ELEFANTE BRANCO";"2012";"PABLO TRAPERO";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"06-AUG-12"
"15002096";"THE WORDS";"AS PALAVRAS";"2012";"BRIAN KLUGMAN, LEE STERNTHAL";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"03-JUN-15"
"16001677";"LOOPER";"LOOPER: ASSASSINOS DO FUTURO";"2012";"RIAN JOHNSON";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"03-JUN-15"
"721225";"A ONDA DA VIDA";"A ONDA DA VIDA";"2013";"JOSE AUGUSTO COSTA HENRIQUES";"IDÉIAS IDEAIS DESIGN & PRODUÇÕES LTDA";"01.475.173/0001-29";"05-MAY-14"
"15008253";"THE WOLF OF WALL STREET";"O LOBO DE WALL STREET";"2013";"MARTIN SCORSESE";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"17-DEC-13"
"730082";"DEEP BREATH";"DEEP BREATH";"2014";"STEVEN MOFFAT";"CINEMARK BRASIL S.A";"00.779.721/0001-41";"09-SEP-14"
"14026311";"INSIDE LLEWYN DAVIS";"INSIDE LLEWYN DAVIS: BALADA DE UM HOMEM COMUM";"2013";"JOEL COEN; ETHAN COEN";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"21-JAN-14"
"15005000";"WADJDA";"O SONHO DE WADJDA";"2012";"HAIFAA AL-MANSOUR";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"29-SEP-17"
"15001311";"GLORIA";"GLORIA";"2013";"SEBASTIÁN LELIO";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"20-MAY-16"
"15285";"ESPELHO D´ÁGUA - UMA VIAGEM NO RIO SÃO FRANCISCO";"ESPELHO D´ÁGUA - UMA VIAGEM NO RIO SÃO FRANCISCO";"2004";"MARCUS VINICIUS CEZAR";"ELIMAR PRODUÇÕES ARTÍSTICAS LTDA";"28.026.565/0001-67";"10-JAN-05"
"16001330";"ENDER'S GAME";"O JOGO DO EXTERMINADOR";"2013";"GAVIN HOOD";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"21-NOV-13"
"16002287";"TURANDOT";"TURANDOT";"2013";"ANDREI SERBAN";"CINEMARK BRASIL S.A";"00.779.721/0001-41";"28-NOV-13"
"14025200";"DESPICABLE ME 2";"MEU MALVADO FAVORITO 2";"2013";"PIERRE COFFIN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"04-OCT-13"
"15004988";"BIENVENUE PARMI NOUS";"SEJAM MUITO BEM-VINDOS";"2012";"JEAN BECKER";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"27-FEB-13"
"16001294";"BATTLE OF THE YEAR";"A BATALHA DO ANO";"2013";"BENSON LEE";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"26-NOV-13"
"15373";"SEX MACHINE";"SEX MACHINE";"2003";"LENILDO MAURÍCIO DA SILVA";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"13-JUL-06"
"165984";"FAMÍLIA ALCÂNTARA";"FAMÍLIA ALCÂNTARA";"2004";"DANIEL SOLÁ SANTIAGO E LILIAN SOLÁ SANTIAGO";"DANIEL SOLÁ SANTIAGO PRODUÇÕES LTDA. ME";"00.623.018/0001-40";"05-MAR-07"
"707123";"AS HORAS VULGARES";"AS HORAS VULGARES";"2011";"VITOR GRAIZE";"MARIA DA PENHA GARCIA - PATULÉIA FILMES E PRODUÇÕES";"07.836.136/0001-85";"24-JUL-13"
"14027446";"INTO THE STORM";"NO OLHO DO TORNADO";"2014";"STEVEN QUALE";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"29-APR-14"
"15054";"VINICIUS DE MORAES";"VINICIUS DE MORAES";"2005";"MIGUEL FARIA JR.";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"21-OCT-05"
"183771";"PAMPULHA";"PAMPULHA";"2005";"OSWALDO CALDEIRA CORRE DA SILVA";"OSWALDO CALDEIRA PRODUCOES CINEMATOGRFICAS LTDA";"35.789.569/0001-62";"15-MAY-07"
"16005882";"HABLE CON ELLA";"FALE COM ELA";"2002";"PEDRO ALMODÓVAR";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"21-MAR-03"
"4758";"JUNGLE BOOK 2";"MOGLI - O MENINO LOBO 2";"2002";"STEVE TRENBIRTH";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"10-DEC-02"
"15004929";"CLEOPATRA";"CLEÓPATRA (2003)";"2003";"EDUARDO MIGNOGNA";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"24-OCT-03"
"4623";"THE COMPANY";"DE CORPO E ALMA";"2003";"ROBERT ALTMAN";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"30-MAR-04"
